price,bed,bath,acre_lot,state,zip_code,house_size
449000.0,4.0,4.0,0.12,New Jersey,70110,2330.0
499000.0,3.0,2.0,0.08,New Jersey,70110,2330.0
1500000.0,5.0,3.0,0.17,New Jersey,70110,2330.0
699900.0,7.0,3.0,0.14,New Jersey,70110,2330.0
599000.0,6.0,2.0,0.07,New Jersey,70110,2330.0
1500000.0,4.0,2.0,0.17,New Jersey,70110,2330.0
499999.0,3.0,2.0,0.11,New Jersey,70110,2330.0
575000.0,4.0,1.0,0.11,New Jersey,70110,2330.0
449900.0,5.0,3.0,0.12,New Jersey,70110,2330.0
650000.0,4.0,2.0,0.08,New Jersey,70110,2330.0
339000.0,3.0,1.0,0.13,New Jersey,70120,2330.0
420000.0,3.0,3.0,21.949764539675066,New Jersey,70120,2330.0
699000.0,4.0,2.0,0.11,New Jersey,70120,2330.0
365000.0,4.0,2.0,0.12,New Jersey,70120,2330.0
699000.0,3.0,6.0,0.2,New Jersey,70120,2330.0
600000.0,3.0,3.0,0.17,New Jersey,70120,2330.0
439900.0,5.0,2.0,0.12,New Jersey,70120,2330.0
379000.0,3.0,1.0,0.13,New Jersey,70120,2330.0
899000.0,5.0,4.0,0.11,New Jersey,70120,2330.0
530000.0,3.0,3.0,0.13,New Jersey,70120,2330.0
425000.0,4.0,3.0,0.14,New Jersey,70120,2330.0
409000.0,3.0,2.0,0.11,New Jersey,70120,890.0
599000.0,4.0,2.0,0.12,New Jersey,70120,2330.0
479000.0,4.0,1.0,0.11,New Jersey,70120,2330.0
449900.0,4.0,1.0,0.14,New Jersey,70120,2330.0
799000.0,4.0,3.0,0.26,New Jersey,70120,2330.0
424000.0,3.0,2.0,0.09,New Jersey,70120,2330.0
415000.0,3.0,1.0,0.17,New Jersey,70120,2330.0
799000.0,5.0,3.0,0.15,New Jersey,70130,2330.0
349999.0,2.0,1.0,0.16,New Jersey,70130,2330.0
475000.0,2.0,2.0,21.949764539675066,New Jersey,70130,2330.0
389900.0,3.0,1.0,21.949764539675066,New Jersey,70130,2330.0
750000.0,4.0,4.0,0.36,New Jersey,70130,2330.0
385000.0,2.0,2.0,21.949764539675066,New Jersey,70130,1500.0
400000.0,3.0,1.0,0.11,New Jersey,70130,2330.0
375000.0,2.0,3.0,21.949764539675066,New Jersey,70130,2330.0
434900.0,3.0,2.0,0.13,New Jersey,70130,2330.0
1275000.0,4.0,3.0,0.68,New Jersey,70130,2330.0
635000.0,3.0,3.0,0.17,New Jersey,70130,2330.0
575000.0,4.0,3.0,0.13,New Jersey,70130,2330.0
719000.0,6.0,4.0,0.25,New Jersey,70130,2330.0
489900.0,3.0,3.0,0.14,New Jersey,70130,2330.0
600000.0,4.0,3.0,0.3,New Jersey,70130,2330.0
369900.0,2.0,2.0,21.949764539675066,New Jersey,70130,1342.0
389900.0,3.0,2.0,0.11,New Jersey,70130,2330.0
235000.0,1.0,1.0,0.02,New Jersey,70130,2330.0
625000.0,5.0,2.0,0.11,New Jersey,70130,2330.0
238226.0,1.0,1.0,21.949764539675066,New Jersey,70130,2330.0
769000.0,4.0,4.0,0.11,New Jersey,70130,2330.0
484900.0,2.0,2.0,0.18,New Jersey,70130,2330.0
